  bin      Q2_l      Q2_h      Q2_c     x_l        x_h        x_c             xsec_c        xsec_ave    BCC_area       RC_sf     rxsec_c      area
  171     3548.10   6000.70   5000.00   0.2089300  0.3162300  0.1800000        0.012502      0.015718   0.79538       22.607544  0.28263    263.1640
  172     3548.10   6000.70   5000.00   0.3162300  0.5011900  0.2500000        0.007641      0.008633   0.88508       29.163507  0.22284    453.6329
  173     3548.10   6000.70   5000.00   0.5011900  1.0000000  0.4000000        0.002604      0.003129   0.83222       43.389347  0.11298   1223.3815
  174     6000.70  10000.00   5000.00   0.0015800  0.0025100  0.6500000        0.000251      0.000258   0.97508       67.265747  0.01692      3.7193
  183     6000.70  10000.00   8000.00   0.1000000  0.1450100  0.0875000        0.007537      0.010490   0.71854       42.559227  0.32077    180.0085
  184     6000.70  10000.00   8000.00   0.1450100  0.2089300  0.1300000        0.005137      0.006107   0.84108       55.275246  0.28392    255.6353
  185     6000.70  10000.00   8000.00   0.2089300  0.3162300  0.1800000        0.003789      0.004283   0.88464       67.174706  0.25452    429.1248
  186     6000.70  10000.00   8000.00   0.3162300  0.5011900  0.2500000        0.002479      0.002539   0.97636       83.592682  0.20725    739.7105
  187     6000.70  10000.00   8000.00   0.5011900  1.0000000  0.4000000        0.000902      0.000974   0.92578      119.453735  0.10770   1994.8907
  188    10000.00  16680.20   8000.00   0.0015800  0.0025100  0.6500000        0.000090      0.000082   1.08720      180.161133  0.01616      6.2126
  198    10000.00  16680.20  12000.00   0.1450100  0.2089300  0.1300000        0.001605      0.001921   0.83585      142.502670  0.22877    426.9984
  199    10000.00  16680.20  12000.00   0.2089300  0.3162300  0.1800000        0.001157      0.001000   1.15751      177.940643  0.20587    716.7853
  200    10000.00  16680.20  12000.00   0.3162300  0.5011900  0.2500000        0.000826      0.000639   1.29137      216.186768  0.17851   1235.5697
  201    10000.00  16680.20  12000.00   0.5011900  1.0000000  0.4000000        0.000335      0.000276   1.21411      295.431335  0.09892   3332.1501
  202    16680.20  27777.90  12000.00   0.0015800  0.0025100  0.6500000        0.000035      0.000025   1.40445      430.328064  0.01517     10.3209
  214    16680.20  27777.90  20000.00   0.3162300  0.5011900  0.2500000        0.000158      0.000135   1.17006      734.442078  0.11616   2052.6309
  215    16680.20  27777.90  20000.00   0.5011900  1.0000000  0.4000000        0.000079      0.000062   1.26871      976.400818  0.07713   5535.6440
  216    27777.90  46334.00  20000.00   0.0015800  0.0025100  0.6500000        0.000010      0.000007   1.48167     1343.071533  0.01322     17.2572
  229    27777.90  46334.00  30000.00   0.5011900  1.0000000  0.4000000        0.000019      0.000011   1.66707     2586.256104  0.04937   9255.9678
  230    46334.00  77285.90  30000.00   0.0015800  0.0025100  0.6500000        0.000003      0.000001   2.30487     3460.235840  0.01054     28.7853
